Ticker,Name,Exchange
ANZ,Australia and New Zealand Banking Group Ltd,ASX
AO1,Assetowl Ltd,ASX
AOA,Ausmon Resources Ltd,ASX
AOF,Australian Unity Office Fund,ASX
AON,Apollo Minerals Ltd,ASX
AOP,Apollo Consolidated Ltd,ASX
AOU,Auroch Minerals Ltd,ASX
AOW,American Patriot Oil & Gas Ltd,ASX
APA,APA Group,ASX
APC,Australian Potash Ltd,ASX
APD,Apn Property Group,ASX
APE,AP Eagers Ltd,ASX
APG,Austpac Resources NL,ASX
APH,Australian Primary Hemp Ltd,ASX
API,Australian Pharmaceutical Industries Ltd,ASX
APL,Antipodes Global Investment Company Ltd,ASX
APT,Afterpay Ltd,ASX
APV,Appsvillage Australia Ltd,ASX
APW,Aims Property Securities Fund,ASX
APX,Appen Ltd,ASX
APZ,Aspen Group,ASX
AQC,Australian Pacific Coal Ltd,ASX
AQD,Ausquest Ltd,ASX
AQG,Alacer Gold Corp,ASX
AQI,Alicanto Minerals Ltd,ASX
AQR,Apn Convenience Retail REIT,ASX
AQS,AQUIS Entertainment Ltd,ASX
AQX,Alice QUEEN Ltd,ASX
AQZ,Alliance Aviation Services Ltd,ASX
AR9,Archtis Ltd,ASX
ARA,Ariadne Australia Ltd,ASX
ARB,ARB Corporation Ltd,ASX
ARC,Australian Rural Capital Ltd,ASX
ARD,Argent Minerals Ltd,ASX
ARE,Argonaut Resources NL,ASX
ARF,Arena REIT,ASX
ARG,Argo Investments Ltd,ASX
ARL,Ardea Resources Ltd,ASX
ARM,Aurora Minerals Ltd,ASX
ARN,Aldoro Resources Ltd,ASX
ARO,Astro Resources NL,ASX
ARQ,ARQ Group Ltd,ASX
ARS,Alt Resources Ltd,ASX
ARU,Arafura Resources Ltd,ASX
ARV,Artemis Resources Ltd,ASX
AS1,Angel Seafood Holdings Ltd,ASX
ASB,Austal Ltd,ASX
ASG,Autosports Group Ltd,ASX
ASH,Ashley Services Group Ltd,ASX
ASIA,Betashares Asia Technology Tigers ETF,ASX
ASN,Anson Resources Ltd,ASX
ASP,Aspermont Ltd,ASX
ASQ,Australian Silica Quartz Group Ltd,ASX
AST,Ausnet Services Ltd,ASX
ASW,Advanced Share Registry Ltd,ASX
ASX,ASX Ltd,ASX
AT1,Atomo Diagnostics Ltd,ASX
ATC,Altech Chemicals Ltd,ASX
ATEC,Betashares S&P/ASX Australian Technology ETF,ASX
ATH,Alterity Therapeutics Ltd,ASX
ATL,Apollo Tourism & Leisure Ltd,ASX
ATM,Aneka Tambang (Persero) TBK (PT),ASX
ATP,Atlas Pearls Ltd,ASX
ATR,Astron Corporation Ltd,ASX
ATS,Australis Oil & Gas Ltd,ASX
ATU,Atrum Coal Ltd,ASX
ATX,Amplia Therapeutics Ltd,ASX
AU1,The Agency Group Australia Ltd,ASX
AU8,Aumake International Ltd,ASX
AUB,AUB Group Ltd,ASX
AUC,Ausgold Ltd,ASX
AUDS,Betashares Strong Australian Dollar Fund (Hedge Fund),ASX
AUH,Austchina Holdings Ltd,ASX
AUI,Australian United Investment Company Ltd,ASX
AUL,Austar Gold Ltd,ASX
AUMF,Ishares Edge MSCI Australia Multifactor ETF,ASX
AUP,Aurora Property Buy-Write Income Trust,ASX
AUQ,Alara Resources Ltd,ASX
AUR,Auris Minerals Ltd,ASX
AUST,Betashares Managed Risk Australian Share Fund,ASX
AUT,Auteco Minerals Ltd,ASX
AUZ,Australian Mines Ltd,ASX
AV1,Adveritas Ltd,ASX
AVA,AVA Risk Group Ltd,ASX
AVC,Auctus Alternative Investments Ltd,ASX
AVE,Avecho Biotechnology Ltd,ASX
AVG,Australian Vintage Ltd,ASX
AVH,Avita Medical Ltd,ASX
AVJ,Avjennings Ltd,ASX
AVL,Australian Vanadium Ltd,ASX
AVN,Aventus Group,ASX
AVQ,Axiom Mining Ltd,ASX
AVW,Avira Resources Ltd,ASX
AVZ,AVZ Minerals Ltd,ASX
AWC,Alumina Ltd,ASX
AWN,Arowana International Ltd,ASX
AWV,Anova Metals Ltd,ASX
AWY,Australian Whisky Holdings Ltd,ASX
AX1,Accent Group Ltd,ASX
AX8,Accelerate Resources Ltd,ASX
AXE,Archer Materials Ltd,ASX
AXI,Axiom Properties Ltd,ASX
AXT,Argo Exploration Ltd,ASX
AYF,Australian Enhanced Income Fund,ASX
AYI,A1 Investments & Resources Ltd,ASX
AYM,Australia United Mining Ltd,ASX
AYR,Alloy Resources Ltd,ASX
AYS,Amaysim Australia Ltd,ASX
AZI,Alta ZINC Ltd,ASX
AZJ,Aurizon Holdings Ltd,ASX
AZS,AZURE Minerals Ltd,ASX
AZT,AZURE Health Tech,ASX
AZV,AZURE Healthcare Ltd,ASX
AZY,Antipa Minerals Ltd,ASX
B2Y,Bounty Mining Ltd,ASX
BAF,Blue Sky Alternatives Access Fund Ltd,ASX
BAP,Bapcor Ltd,ASX
BAR,Barra Resources Ltd,ASX
BAS,Bass Oil Ltd,ASX
BAT,Battery Minerals Ltd,ASX
BBC,BNK Banking Corporation Ltd,ASX
BBL,Brisbane Broncos Ltd,ASX
BBN,Baby Bunting Group Ltd,ASX
BBOZ,Betashares Australian Equities Strongbearhedgefund,ASX
BBUS,Betashares US EQ Strong Bear Hdge FND-CRNCY Hdged,ASX
BBX,BBX Minerals Ltd,ASX
BC8,Black Cat Syndicate Ltd,ASX
BCB,Bowen Coking Coal Ltd,ASX
BCC,Beam Communications Holdings Ltd,ASX
BCI,BCI Minerals Ltd,ASX
BCK,Brockman Mining Ltd,ASX
BCL,Bunji Corporation Ltd,ASX
BCN,Beacon Minerals Ltd,ASX
BCT,Bluechiip Ltd,ASX
BD1,BARD1 Life Sciences Ltd,ASX
BDA,Bod Australia Ltd,ASX
BDC,Bardoc Gold Ltd,ASX
BDG,Black Dragon Gold Corp,ASX
BDI,Blina Minerals NL,ASX
BEAR,Betashares Australian Equities Bear Hedge Fund,ASX
BEE,Broo Ltd,ASX
BEL,Bentley Capital Ltd,ASX
BEM,Blackearth Minerals NL,ASX
BEN,Bendigo and Adelaide Bank Ltd,ASX
BET,Betmakers Technology Group Ltd,ASX
BFC,Beston Global Food Company Ltd,ASX
BFG,Bell Financial Group Ltd,ASX
BGA,Bega Cheese Ltd,ASX
BGL,Bellevue Gold Ltd,ASX
BGP,Briscoe Group Australasia Ltd,ASX
BGT,Bio-Gene Technology Ltd,ASX
BHD,Benjamin Hornigold Ltd,ASX
BHL,Boyuan Holdings Ltd,ASX
BHP,BHP Group Ltd,ASX
BID,Bidenergy Ltd,ASX
BILL,Ishares Core Cash ETF,ASX
BIN,Bingo Industries Ltd,ASX
BIQ,"Buildingiq, Inc",ASX
BIR,BIR Financial Ltd,ASX
BIS,Bisalloy Steel Group Ltd,ASX
BIT,Biotron Ltd,ASX
BKI,BKI Investment Company Ltd,ASX
BKL,Blackmores Ltd,ASX
BKT,Black Rock Mining Ltd,ASX
BKW,Brickworks Ltd,ASX
BKY,Berkeley Energia Ltd,ASX
BLA,Blue Sky Alternative Investments Ltd,ASX
BLD,Boral Ltd,ASX
BLG,Bluglass Ltd,ASX
BLK,Blackham Resources Ltd,ASX
BLU,Blue Energy Ltd,ASX
BLV,Blossomvale Holdings Ltd,ASX
BLX,Beacon Lighting Group Ltd,ASX
BLY,Boart Longyear Ltd,ASX
BLZ,BLAZE International Ltd,ASX
BMG,BMG Resources Ltd,ASX
BMH,Baumart Holdings Ltd,ASX
BMN,Bannerman Resources Ltd,ASX
BNDS,Betashares Legg Mason Australian Bond Fund (Managed Fund),ASX
